match_id,tournament_id,group_id,match_name,stage_name,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties
M-2006-32,WC-2006,107.0,Spain vs Tunisia,group stage,0,2006-06-19,21:00,S-099,T-73,T-79,3,1,0,0,0,0
M-2006-33,WC-2006,100.0,Costa Rica vs Poland,group stage,0,2006-06-20,16:00,S-090,T-17,T-57,1,2,0,0,0,0
M-2006-34,WC-2006,100.0,Ecuador vs Germany,group stage,0,2006-06-20,16:00,S-080,T-25,T-31,0,3,0,0,0,0
M-2006-35,WC-2006,101.0,Paraguay vs Trinidad and Tobago,group stage,0,2006-06-20,21:00,S-091,T-55,T-78,2,0,0,0,0,0
M-2006-36,WC-2006,101.0,Sweden vs England,group stage,0,2006-06-20,21:00,S-082,T-74,T-28,2,2,0,0,0,0
M-2006-37,WC-2006,103.0,Iran vs Angola,group stage,0,2006-06-21,16:00,S-092,T-38,T-02,1,1,0,0,0,0
M-2006-38,WC-2006,103.0,Portugal vs Mexico,group stage,0,2006-06-21,16:00,S-087,T-58,T-46,2,1,0,0,0,0
M-2006-39,WC-2006,102.0,Ivory Coast vs Serbia and Montenegro,group stage,0,2006-06-21,21:00,S-095,T-42,T-67,3,2,0,0,0,0
M-2006-40,WC-2006,102.0,Netherlands vs Argentina,group stage,0,2006-06-21,21:00,S-086,T-48,T-03,0,0,0,0,0,0
M-2006-41,WC-2006,104.0,Czech Republic vs Italy,group stage,0,2006-06-22,16:00,S-089,T-20,T-41,0,2,0,0,0,0
M-2006-42,WC-2006,104.0,Ghana vs United States,group stage,0,2006-06-22,16:00,S-097,T-32,T-83,2,1,0,0,0,0
M-2006-43,WC-2006,105.0,Croatia vs Australia,group stage,0,2006-06-22,21:00,S-099,T-18,T-04,2,2,0,0,0,0
M-2006-44,WC-2006,105.0,Japan vs Brazil,group stage,0,2006-06-22,21:00,S-083,T-44,T-09,1,4,0,0,0,0
M-2006-45,WC-2006,107.0,Saudi Arabia vs Spain,group stage,0,2006-06-23,16:00,S-091,T-63,T-73,0,1,0,0,0,0
M-2006-46,WC-2006,107.0,Ukraine vs Tunisia,group stage,0,2006-06-23,16:00,S-080,T-81,T-79,1,0,0,0,0,0
M-2006-47,WC-2006,106.0,Switzerland vs South Korea,group stage,0,2006-06-23,21:00,S-090,T-75,T-71,2,0,0,0,0,0
M-2006-48,WC-2006,106.0,Togo vs France,group stage,0,2006-06-23,21:00,S-082,T-77,T-30,0,2,0,0,0,0
M-2006-49,WC-2006,,Germany vs Sweden,round of 16,0,2006-06-24,17:00,S-095,T-31,T-74,2,0,0,0,0,0
M-2006-50,WC-2006,,Argentina vs Mexico,round of 16,0,2006-06-24,21:00,S-092,T-03,T-46,2,1,1,0,0,0
M-2006-51,WC-2006,,England vs Ecuador,round of 16,0,2006-06-25,17:00,S-099,T-28,T-25,1,0,0,0,0,0
M-2006-52,WC-2006,,Portugal vs Netherlands,round of 16,0,2006-06-25,21:00,S-097,T-58,T-48,1,0,0,0,0,0
M-2006-53,WC-2006,,Italy vs Australia,round of 16,0,2006-06-26,17:00,S-091,T-41,T-04,1,0,0,0,0,0
M-2006-54,WC-2006,,Switzerland vs Ukraine,round of 16,0,2006-06-26,21:00,S-082,T-75,T-81,0,0,1,1,0,3
M-2006-55,WC-2006,,Brazil vs Ghana,round of 16,0,2006-06-27,17:00,S-083,T-09,T-32,3,0,0,0,0,0
M-2006-56,WC-2006,,Spain vs France,round of 16,0,2006-06-27,21:00,S-090,T-73,T-30,1,3,0,0,0,0
M-2006-57,WC-2006,,Germany vs Argentina,quarter-finals,0,2006-06-30,17:00,S-080,T-31,T-03,1,1,1,1,4,2
M-2006-58,WC-2006,,Italy vs Ukraine,quarter-finals,0,2006-06-30,21:00,S-089,T-41,T-81,3,0,0,0,0,0
M-2006-59,WC-2006,,England vs Portugal,quarter-finals,0,2006-07-01,17:00,S-087,T-28,T-58,0,0,1,1,1,3
M-2006-60,WC-2006,,Brazil vs France,quarter-finals,0,2006-07-01,21:00,S-086,T-09,T-30,0,1,0,0,0,0
M-2006-61,WC-2006,,Germany vs Italy,semi-finals,0,2006-07-04,21:00,S-083,T-31,T-41,0,2,1,0,0,0
M-2006-62,WC-2006,,Portugal vs France,semi-finals,0,2006-07-05,21:00,S-095,T-58,T-30,0,1,0,0,0,0
M-2006-63,WC-2006,,Germany vs Portugal,third-place match,0,2006-07-08,21:00,S-099,T-31,T-58,3,1,0,0,0,0
M-2006-64,WC-2006,,Italy vs France,final,0,2006-07-09,20:00,S-080,T-41,T-30,1,1,1,1,5,3
M-2010-01,WC-2010,112.0,South Africa vs Mexico,group stage,0,2010-06-11,16:00,S-164,T-70,T-46,1,1,0,0,0,0
M-2010-02,WC-2010,112.0,Uruguay vs France,group stage,0,2010-06-11,20:30,S-161,T-84,T-30,0,0,0,0,0,0
M-2010-03,WC-2010,113.0,South Korea vs Greece,group stage,0,2010-06-12,13:30,S-167,T-71,T-33,2,0,0,0,0,0
M-2010-04,WC-2010,113.0,Argentina vs Nigeria,group stage,0,2010-06-12,16:00,S-163,T-03,T-50,1,0,0,0,0,0
M-2010-05,WC-2010,114.0,England vs United States,group stage,0,2010-06-12,20:30,S-169,T-28,T-83,1,1,0,0,0,0
M-2010-06,WC-2010,114.0,Algeria vs Slovenia,group stage,0,2010-06-13,13:30,S-166,T-01,T-69,0,1,0,0,0,0
M-2010-07,WC-2010,115.0,Serbia vs Ghana,group stage,0,2010-06-13,16:00,S-168,T-66,T-32,0,1,0,0,0,0
M-2010-08,WC-2010,115.0,Germany vs Australia,group stage,0,2010-06-13,20:30,S-162,T-31,T-04,4,0,0,0,0,0
M-2010-09,WC-2010,116.0,Netherlands vs Denmark,group stage,0,2010-06-14,13:30,S-164,T-48,T-22,2,0,0,0,0,0
M-2010-10,WC-2010,116.0,Japan vs Cameroon,group stage,0,2010-06-14,16:00,S-160,T-44,T-11,1,0,0,0,0,0
M-2010-11,WC-2010,117.0,Italy vs Paraguay,group stage,0,2010-06-14,20:30,S-161,T-41,T-55,1,1,0,0,0,0
M-2010-12,WC-2010,117.0,New Zealand vs Slovakia,group stage,0,2010-06-15,13:30,S-169,T-49,T-68,1,1,0,0,0,0
M-2010-13,WC-2010,118.0,Ivory Coast vs Portugal,group stage,0,2010-06-15,16:00,S-167,T-42,T-58,0,0,0,0,0,0
M-2010-14,WC-2010,118.0,Brazil vs North Korea,group stage,0,2010-06-15,20:30,S-163,T-09,T-51,2,1,0,0,0,0
M-2010-15,WC-2010,119.0,Honduras vs Chile,group stage,0,2010-06-16,13:30,S-165,T-35,T-13,0,1,0,0,0,0
M-2010-16,WC-2010,119.0,Spain vs Switzerland,group stage,0,2010-06-16,16:00,S-162,T-73,T-75,0,1,0,0,0,0
M-2010-17,WC-2010,112.0,South Africa vs Uruguay,group stage,0,2010-06-16,20:30,S-168,T-70,T-84,0,3,0,0,0,0
M-2010-18,WC-2010,113.0,Argentina vs South Korea,group stage,0,2010-06-17,13:30,S-164,T-03,T-71,4,1,0,0,0,0
M-2010-19,WC-2010,113.0,Greece vs Nigeria,group stage,0,2010-06-17,16:00,S-160,T-33,T-50,2,1,0,0,0,0
M-2010-20,WC-2010,112.0,France vs Mexico,group stage,0,2010-06-17,20:30,S-166,T-30,T-46,0,2,0,0,0,0
M-2010-21,WC-2010,115.0,Germany vs Serbia,group stage,0,2010-06-18,13:30,S-167,T-31,T-66,0,1,0,0,0,0
M-2010-22,WC-2010,114.0,Slovenia vs United States,group stage,0,2010-06-18,16:00,S-163,T-69,T-83,2,2,0,0,0,0
M-2010-23,WC-2010,114.0,England vs Algeria,group stage,0,2010-06-18,20:30,S-161,T-28,T-01,0,0,0,0,0,0
M-2010-24,WC-2010,116.0,Netherlands vs Japan,group stage,0,2010-06-19,13:30,S-162,T-48,T-44,1,0,0,0,0,0
M-2010-25,WC-2010,115.0,Ghana vs Australia,group stage,0,2010-06-19,16:00,S-169,T-32,T-04,1,1,0,0,0,0
M-2010-26,WC-2010,116.0,Cameroon vs Denmark,group stage,0,2010-06-19,20:30,S-168,T-11,T-22,1,2,0,0,0,0
M-2010-27,WC-2010,117.0,Slovakia vs Paraguay,group stage,0,2010-06-20,13:30,S-160,T-68,T-55,0,2,0,0,0,0
M-2010-28,WC-2010,117.0,Italy vs New Zealand,group stage,0,2010-06-20,16:00,S-165,T-41,T-49,1,1,0,0,0,0
M-2010-29,WC-2010,118.0,Brazil vs Ivory Coast,group stage,0,2010-06-20,20:30,S-164,T-09,T-42,3,1,0,0,0,0
M-2010-30,WC-2010,118.0,Portugal vs North Korea,group stage,0,2010-06-21,13:30,S-161,T-58,T-51,7,0,0,0,0,0
M-2010-31,WC-2010,119.0,Chile vs Switzerland,group stage,0,2010-06-21,16:00,S-167,T-13,T-75,1,0,0,0,0,0
M-2010-32,WC-2010,119.0,Spain vs Honduras,group stage,0,2010-06-21,20:30,S-163,T-73,T-35,2,0,0,0,0,0
M-2010-33,WC-2010,112.0,France vs South Africa,group stage,0,2010-06-22,16:00,S-160,T-30,T-70,1,2,0,0,0,0
