player_appointment_id,tournament_id,team_id,player_id,shirt_number
PA-6376,WC-1998,T-16,P-55994,9
PA-6377,WC-1998,T-16,P-49600,10
PA-6378,WC-1998,T-16,P-10444,11
PA-6379,WC-1998,T-16,P-18252,12
PA-6380,WC-1998,T-16,P-13552,13
PA-6381,WC-1998,T-16,P-77800,14
PA-6382,WC-1998,T-16,P-76247,15
PA-6383,WC-1998,T-16,P-75570,16
PA-6384,WC-1998,T-16,P-00522,17
PA-6385,WC-1998,T-16,P-51932,18
PA-6386,WC-1998,T-16,P-69504,19
PA-6387,WC-1998,T-16,P-30514,20
PA-6388,WC-1998,T-16,P-64415,21
PA-6389,WC-1998,T-16,P-02080,22
PA-6390,WC-1998,T-18,P-52310,1
PA-6391,WC-1998,T-18,P-43142,2
PA-6392,WC-1998,T-18,P-31857,3
PA-6393,WC-1998,T-18,P-98512,4
PA-6394,WC-1998,T-18,P-44332,5
PA-6395,WC-1998,T-18,P-85355,6
PA-6396,WC-1998,T-18,P-21803,7
PA-6397,WC-1998,T-18,P-62861,8
PA-6398,WC-1998,T-18,P-58374,9
PA-6399,WC-1998,T-18,P-05779,10
PA-6400,WC-1998,T-18,P-18926,11
PA-6401,WC-1998,T-18,P-96358,12
PA-6402,WC-1998,T-18,P-75377,13
PA-6403,WC-1998,T-18,P-37461,14
PA-6404,WC-1998,T-18,P-42144,15
PA-6405,WC-1998,T-18,P-93377,16
PA-6406,WC-1998,T-18,P-26414,17
PA-6407,WC-1998,T-18,P-59881,18
PA-6408,WC-1998,T-18,P-96110,19
PA-6409,WC-1998,T-18,P-41724,20
PA-6410,WC-1998,T-18,P-76217,21
PA-6411,WC-1998,T-18,P-94668,22
PA-6412,WC-1998,T-22,P-35183,1
PA-6413,WC-1998,T-22,P-57898,2
PA-6414,WC-1998,T-22,P-77711,3
PA-6415,WC-1998,T-22,P-11000,4
PA-6416,WC-1998,T-22,P-79273,5
PA-6417,WC-1998,T-22,P-72404,6
PA-6418,WC-1998,T-22,P-62564,7
PA-6419,WC-1998,T-22,P-02695,8
PA-6420,WC-1998,T-22,P-75330,9
PA-6421,WC-1998,T-22,P-56788,10
PA-6422,WC-1998,T-22,P-28133,11
PA-6423,WC-1998,T-22,P-90473,12
PA-6424,WC-1998,T-22,P-01514,13
PA-6425,WC-1998,T-22,P-87412,14
PA-6426,WC-1998,T-22,P-37132,15
PA-6427,WC-1998,T-22,P-66859,16
PA-6428,WC-1998,T-22,P-04448,17
PA-6429,WC-1998,T-22,P-87668,18
PA-6430,WC-1998,T-22,P-80289,19
PA-6431,WC-1998,T-22,P-86345,20
PA-6432,WC-1998,T-22,P-68055,21
PA-6433,WC-1998,T-22,P-25541,22
PA-6434,WC-1998,T-28,P-13285,1
PA-6435,WC-1998,T-28,P-97840,2
PA-6436,WC-1998,T-28,P-26320,3
PA-6437,WC-1998,T-28,P-15550,4
PA-6438,WC-1998,T-28,P-54003,5
PA-6439,WC-1998,T-28,P-79943,6
PA-6440,WC-1998,T-28,P-81049,7
PA-6441,WC-1998,T-28,P-92367,8
PA-6442,WC-1998,T-28,P-63416,9
PA-6443,WC-1998,T-28,P-94825,10
PA-6444,WC-1998,T-28,P-03532,11
PA-6445,WC-1998,T-28,P-66658,12
PA-6446,WC-1998,T-28,P-93674,13
PA-6447,WC-1998,T-28,P-40570,14
PA-6448,WC-1998,T-28,P-69168,15
PA-6449,WC-1998,T-28,P-63916,16
PA-6450,WC-1998,T-28,P-43959,17
PA-6451,WC-1998,T-28,P-90384,18
PA-6452,WC-1998,T-28,P-89205,19
PA-6453,WC-1998,T-28,P-51130,20
PA-6454,WC-1998,T-28,P-01249,21
PA-6455,WC-1998,T-28,P-61105,22
PA-6456,WC-1998,T-30,P-30371,1
PA-6457,WC-1998,T-30,P-22876,2
PA-6458,WC-1998,T-30,P-56735,3
